"service_type","delivery_status","records","outcome_pct"
"Business",NA,39,23.6
"Business","Delayed",28,17
"Business","Failed",25,15.2
"Business","OnTime",73,44.2
"Medical",NA,31,22.3
"Medical","Delayed",22,15.8
"Medical","Failed",16,11.5
"Medical","OnTime",70,50.4
"Parcel",NA,78,25.3
"Parcel","Delayed",49,15.9
"Parcel","Failed",25,8.1
"Parcel","OnTime",156,50.6
"Passenger",NA,79,23.2
"Passenger","Delayed",53,15.5
"Passenger","Failed",38,11.1
"Passenger","OnTime",171,50.1
"Retail",NA,73,24.6
"Retail","Delayed",50,16.8
"Retail","Failed",28,9.4
"Retail","OnTime",146,49.2
